#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude_old,Latitude_old,Coordinate Ref.
461,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Sümer HPP,Weir,GİRESUN,22.664,21.6,0,21.6,38.5378925593499,40.3450176248011,,,Google Maps
393,Hydropower Plant,BEREKET ENERJİ ÜRETİM ANONİM ŞİRKETİ,Koyulhisar HPP,Weir,SİVAS,43.5,42,0,42,37.7825187842252,40.2904818053358,,,DSİ
509,Hydropower Plant,AKSA ENERJİ ÜRETİM A.Ş.,İncesu HPP,,ÇORUM,15.63,15,0,15,35.3297928423587,40.2735530636813,,,DSİ
360,Hydropower Plant,SUATA ELEKTRİK ÜRETİM LİMİTED ŞİRKETİ,Burçak Reg. Ve HPP,Weir,GİRESUN,72.45,66.29,0,66.29,38.372498,40.258569,,,
326,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kılıçkaya HPP,Dam,ARTVİN,120,120,0,120,38.1911334361481,40.2413998924979,,,
412,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çamlıgöze HPP,Dam,SİVAS,32,32,0,32,38.06776998,40.22849738,,,
557,Hydropower Plant,BAYBURT ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Yıldırım HPP,,BAYBURT,11.01,10.677,0,10.677,40.500412,40.191988,,,
516,Hydropower Plant,BAYBURT ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Bayburt HPP,,BAYBURT,15.036,14.631,0,14.631,40.308151,40.191463,,,
463,Hydropower Plant,ZORLU DOĞAL ELEKTRİK ÜRETİMİ A.Ş.,Kuzgun Regülatörü ve HPP,Weir,ERZURUM,20.9,20.899,0,20.899,41.063102246192,40.1866993627459,1601854.28543,4881764.53696,DSİ-HES
482,Hydropower Plant,TIRSAN ENERJİ ELEKTRİK ÜRETİM A.Ş.,Yakınca HPP,,GİRESUN,11.94,11.7,11.7,0,38.461761,40.183595,,,
414,Hydropower Plant,EBD ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Narinkale HPP,Weir,KARS,32,30.4,0,30.4,43.2067402326725,40.1672836067672,,,DSİ
420,Hydropower Plant,EBD ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Serap HPP,Weir,KARS,30,28.96,0,28.96,43.08739095,40.16399786,,,DSİ
328,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Muratlı HPP,Dam,ARTVİN,117.6,115,0,115,38.4948091570129,40.1616784397607,,,
407,Hydropower Plant,PURE ENERJİ ÜRETİMİ ANONİM ŞİRKETİ,Sefaköy HPP,Dam,KARS,35,33.11,0,33.11,43.36244736,40.14380907,,,
462,Hydropower Plant,HOŞDERE ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Sena HPP,Weir,KARS,22.1,21.436,0,21.436,43.4358721322402,40.1135569929603,,,DSİ
484,Hydropower Plant,ZORLU DOĞAL ELEKTRİK ÜRETİMİ A.Ş.,İkizdere Regülatörü ve HPP,,RİZE,18.6,18.6,0,18.6,42.9423941368779,40.0885106890302,,,HES
494,Hydropower Plant,ZORLU DOĞAL ELEKTRİK ÜRETİMİ A.Ş.,Beyköy Regülatörü ve HPP,,ESKİŞEHİR,16.8,16.8,3.5527136788005E-15,16.8,30.7667172929749,40.0812676164335,,,HES
477,Hydropower Plant,ENERKA KALECİK ELEKTRİK ÜRETİM VE PAZARLAMA ANONİM ŞİRKETİ,Kalecik HPP,Weir,ANKARA,23.683,22.986,3.878,19.108,33.4481032894397,40.0640007738652,,,DSİ
401,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Yenice HPP,Dam,ANKARA,37.89,37.89,0,37.89,30.8523988581537,40.062801117783,,,
318,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Sarıyar H.P. HPP,Dam,ANKARA,160,160,0,160,31.4230129331566,40.0451829403345,,,
308,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Gökçekaya HPP,Dam,ESKİŞEHİR,278.4,278.4,0,278.4,31.0195340811092,40.0280338976462,,,
510,Hydropower Plant,YÜCEYURT ENERJİ ÜRETİM TİCARET VE SANAYİ ANONİM ŞİRKETİ,Araklı-I Reg. Ve HPP,,TRABZON,15.36,14.911,0,14.911,40.691084,39.994354,,,
469,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Manyas HPP,Dam,BALIKESİR,20.49,20.25,0,20.25,27.7817552368837,39.9749445602936,,,
533,Hydropower Plant,ORTAÇAĞ ENERJİ ÜRETİM ANONİM ŞİRKETİ,Ortaçağ Regülatörü ve HPP,,TRABZON,13.28,12.944,0,12.944,40.735974,39.929638,,,
493,Hydropower Plant,KUDRET ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Bangal reg ve Kuşluk HPP,,TRABZON,17.53,17,0,17,40.609631,39.914733,,,
456,Hydropower Plant,BÜKKÖY MADENCİLİK TURİZM İNŞAAT ELEKTRİK ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ.,devecikonağı Barajı ve HPP,Dam,BURSA,23.61,23,0,23,28.5886751533651,39.8687267727207,,,HES
507,Hydropower Plant,ZORLU DOĞAL ELEKTRİK ÜRETİMİ A.Ş.,Tercan Regülatörü ve HPP,,ERZİNCAN,15,15,0,15,40.3925488484352,39.7583296267857,1547597.34023,4831010.55035,DSİ-HES
546,Hydropower Plant,AKGÜN ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Üzümlü HPP,,ERZİNCAN,12.62,11.358,0.008000000000001,11.35,39.711456,39.746266,,,
371,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kapulukaya HPP,Dam,KIRIKKALE,54,54,0,54,33.4865067177331,39.7305437141614,,,
520,Hydropower Plant,IC İÇTAŞ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Yukarı Mercan HPP,,ERZİNCAN,14.2,14,0,14,39.605713,39.60992,,,
500,Hydropower Plant,ÖZCEVHER ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Cevher I-II HPP,,TRABZON,17.06,16.36,0,16.36,40.708003,39.5961,,,
540,Hydropower Plant,IC İÇTAŞ ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Girlevik-2 Mercan HPP,,ERZİNCAN,12.33,12.288,0,12.288,39.6693820459025,39.5940395030813,,,HES
544,Hydropower Plant,CESE ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Mavi Reg. ve HPP,,TRABZON,11.6,11.39,0,11.39,40.769395,39.563141,,,
492,Hydropower Plant,CG ENERJİ ELEKTRİK ÜRETİMİ İNŞ. SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Sema Reg. Ve HPP,,KIRIKKALE,17.7,17,0,17,33.395691,39.542176,,,
376,Hydropower Plant,AKDENİZLİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Bağıştaş II HPP,Weir,ERZİNCAN,49.8,48.6,0,48.6,38.4100792642267,39.4280398270606,,,DSİ
467,Hydropower Plant,ZORLU DOĞAL ELEKTRİK ÜRETİMİ A.Ş.,Mercan Regülatörü ve HPP,Weir,TUNCELİ,20.4,20.4,0,20.4,39.3066529551557,39.4145527242123,1456628.7109,4787437.64228,DSİ-HES
445,Hydropower Plant,ÖVÜNÇ ENERJİ VE ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çermikler HPP,Dam,SİVAS,25.78,25,0,25,36.2858820035385,39.4015906438608,,,DSİ
350,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kesikköprü,Dam,ANKARA,76,76,0,76,33.4197044270968,39.3976033665559,,,
443,Hydropower Plant,ÇAMLICA ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Saraçbendi HPP,Weir,SİVAS,26.28,25.48,0,25.48,36.2059505544309,39.3724400722502,,,
324,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Hirfanlı HPP,Dam,ANKARA,128,128,0,128,33.5208016387104,39.273164556908,,,
480,Hydropower Plant,SAF ENERJİ ELEKTRİK ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Saf I HPP,,BİNGÖL,19.28,18.725,0,18.725,40.816956,39.200334,,,
315,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Özlüce HPP,Dam,ELAZIĞ,170,170,0,170,40.0871623466324,39.1268738297461,,,
404,Hydropower Plant,AK-ÖZLÜCE ELEKTRİK ÜRETİM TİCARET ANONİM ŞİRKETİ,Özlüce (Çoruh) HPP,Weir,ERZURUM,36.92,36.38,0,36.38,40.0871623466324,39.1268738297461,1586752.63857,4915392.9448,DSİ-HES
