"results__layerId","results__layerName","results__displayFieldName","results__value","results__attributes__OBJECTID","results__attributes__HES Adı","results__attributes__Kurum","results__attributes__Aşaması(seç)","results__attributes__Akarsu Adı","results__attributes__SHAPE","results__geometryType","results__geometry__x","results__geometry__y","results__geometry__spatialReference__wkid","results__geometry__spatialReference__latestWkid","exceededTransferLimit"
"25","İşletme Durumuna Göre HES","HES_ADI","Üzümlü HES","254","Üzümlü HES","Kamu","planlama","Üzümlü","Point","esriGeometryPoint","39.711153137079449","39.714409858910827","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Haskar HES","330","Haskar HES","Özel(Yap İşlet Devret)","Fizibilite","Sal D. Pülümür Ç.","Point","esriGeometryPoint","39.785634410809159","39.363908054871615","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Berrak-I HES","1539","Berrak-I HES","Özel(Yap İşlet Devret)","Insa Halinde","Yanbolu","Point","esriGeometryPoint","39.806232502991946","40.65974605092687","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kuşluk HES","705","Kuşluk HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","39.88731750352175","40.605685359088376","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Araklı-I HES","1540","Araklı-I HES","Özel(Yap İşlet Devret)","Insa Halinde","Horten D.","Point","esriGeometryPoint","39.994371606405238","40.683052412895954","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kralkızı HES","977","Kralkızı HES","Kamu","isletmede","Dicle N.","Point","esriGeometryPoint","40.019892209711223","38.347363857254607","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çınar HES","795","Çınar HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","40.168663766012173","40.572779813763816","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Atm-I HES","846","Atm-I HES","Kamu","SKHA","Null","Point","esriGeometryPoint","40.20815233628489","40.608794938167648","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Ilıca HES","337","Ilıca HES","Özel(Yap İşlet Devret)","Fizibilite","Küçük Çay","Point","esriGeometryPoint","40.282944447118268","39.238119803322938","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Gökçe HES","317","Gökçe HES","Özel(Yap İşlet Devret)","SKHA","Gayt Barajı Savaklarından","Point","esriGeometryPoint","40.335442161833789","38.956764198533158","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Sarmaşık HES","872","Sarmaşık HES","Kamu","planlama","Null","Point","esriGeometryPoint","40.427446398344451","40.715418895175496","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Duru HES","306","Duru HES","Özel(Yap İşlet Devret)","SKHA","Peri Suyu","Point","esriGeometryPoint","40.446326707714825","39.453224614963396","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Cevizlik HES","1606","Cevizlik HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","40.491677743385154","40.858266408779208","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Haydar HES","239","Haydar HES","Kamu","master plan, öninceleme","Şıhköy","Point","esriGeometryPoint","40.536260905490174","39.622995160638673","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Güneysu HES","1527","Güneysu HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.547366536780764","40.915137119464163","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Selin-I (Binbudak) HES","728","Selin-I (Binbudak) HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.608738293945933","40.783038149960852","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kale HES","1617","Kale HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.627959389738344","40.974882293194007","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Tepe HES","715","Tepe HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.656289350061734","40.9269996849224","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Karaağaç HES","646","Karaağaç HES","Kamu","FZB","Null","Point","esriGeometryPoint","40.71868841054733","41.008956788505465","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Birsu I-2--3 HES Projesi","952","Birsu I-2--3 HES Projesi","Özel(Yap İşlet)","Null","Null","Point","esriGeometryPoint","40.794728616837261","38.603680553830934","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Bulut HES","444","Bulut HES","Kamu","planlama","Murat N.","Point","esriGeometryPoint","42.788561154077371","39.536591893815064","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Beşik HES","1109","Beşik HES","Özel(Yap İşlet)","Fizibilite","Bahçesaray D.","Point","esriGeometryPoint","42.807055058938253","38.133882439082726","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Narlı 2 HES","1212","Narlı 2 HES","Kamu","Planlama ve Kati Proje","Müküs D.","Point","esriGeometryPoint","42.897000566324678","37.910347935682253","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Ortaköy HES","1329","Ortaköy HES","Kamu","2","Köyaltı D.","Point","esriGeometryPoint","43.101833642316898","38.317072363614137","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Saral 4 HES 1","1301","Saral 4 HES 1","Özel(Yap İşlet)","Fizibilite","Alakan D.","Point","esriGeometryPoint","43.178350868070211","37.860461578522369","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Hoşap HES","1281","Hoşap HES","Özel(Yap İşlet)","Fizibilite","Alakan D.","Point","esriGeometryPoint","43.212762841163155","37.81623255205173","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Taşlıyazı HES I","1167","Taşlıyazı HES I","Özel(Yap İşlet)","Ön Fizibilite","Botan Ç.","Point","esriGeometryPoint","43.296208359808389","37.959040864911969","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Yalçın HES","1164","Yalçın HES","Özel(Yap İşlet)","Fizibilite","Çatak Ç.","Point","esriGeometryPoint","43.343155046496797","38.107276575166608","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Hasanabdal HES","1342","Hasanabdal HES","Kamu","master plan, öninceleme","Ilıca D.","Point","esriGeometryPoint","43.360368326930349","39.169497046846509","4326","4326",""
