layerId,layerName,displayFieldName,value,attributes__OBJECTID,attributes__HES Adı,attributes__Kurum,attributes__Aşaması(seç),attributes__Akarsu Adı,attributes__SHAPE,geometryType,geometry__x,geometry__y,geometry__spatialReference__wkid,geometry__spatialReference__latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Güzeloluk HES,830,Güzeloluk HES,Özel(Yap İşlet Devret),FZB,Güzeloluk D.,Point,esriGeometryPoint,39.0960906046717,40.4935015011962,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Koyunhamza HES,769,Koyunhamza HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.1069949113371,40.9623855468591,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Telli-I HES,754,Telli-I HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.1142269159014,40.8490267415449,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Nata -2 HES,819,Nata -2 HES,Özel(Yap İşlet Devret),Fizibilite,Harşit Ç.,Point,esriGeometryPoint,39.1560795985452,40.4604839733792,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ortataş Regülatörü Ve HES,139,Ortataş Regülatörü Ve HES,Özel(Yap İşlet),Ön İnceleme,Null,Point,esriGeometryPoint,39.2635772438327,38.1602292554802,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ortaköy HES,1554,Ortaköy HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.2897293529674,40.9680346042173,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çamlı HES,654,Çamlı HES,Kamu,planlama,Fol D.,Point,esriGeometryPoint,39.2941393819903,40.890552196406,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Akça HES,640,Akça HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.3165161350242,41.0394670589712,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Konaktepe-2 HES,348,Konaktepe-2 HES,Kamu,insa halinde,Munzur Suyu,Point,esriGeometryPoint,39.4810961527244,39.2358062740037,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Uzunçayır HES,346,Uzunçayır HES,Kamu,insa halinde,Munzur Suyu,Point,esriGeometryPoint,39.5385798141126,38.979976160348,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kelkit HES,722,Kelkit HES,Kamu,Null,Null,Point,esriGeometryPoint,39.5567061400547,40.1327860793239,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yıldızlı HES,674,Yıldızlı HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.6236072187132,40.9910339554563,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yüzüncüyıl HES,787,Yüzüncüyıl HES,Kamu,fzb,Null,Point,esriGeometryPoint,39.6810130288214,40.8088654055046,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Amastal-I HES,643,Amastal-I HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.7025037045361,40.7202206693553,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Aksu-2 HES,637,Aksu-2 HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.7026647979505,39.8598773121786,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Amastal-I HES,1614,Amastal-I HES,Kamu,FZB,Null,Point,esriGeometryPoint,39.70940594445,40.6970547553999,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Tatar HES,356,Tatar HES,Özel(Yap İşlet Devret),Fizibilite,Peri Suyu,Point,esriGeometryPoint,39.8241966987087,38.8756889602414,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Soğanlı I HES,220,Soğanlı I HES,Kamu,"master plan, öninceleme",Soğanlı D.,Point,esriGeometryPoint,39.8304850846546,39.822417687504,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Özdil HES,793,Özdil HES,Kamu,Ön Başvuru,Null,Point,esriGeometryPoint,39.8650659672014,40.8737646295989,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Pembelik HES,355,Pembelik HES,Özel(Yap İşlet Devret),Fizibilite,Peri Suyu,Point,esriGeometryPoint,39.8930513217709,39.0817290900186,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Küçüksu Regülatörü Ve HES,943,Küçüksu Regülatörü Ve HES,Özel(Yap İşlet),Ön İnceleme,Null,Point,esriGeometryPoint,39.9213558040565,38.4341754838678,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Selimoğlu HES,1506,Selimoğlu HES,Kamu,insa halinde,Yanbolu D.,Point,esriGeometryPoint,39.942664584928,40.8553208416226,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ayvadere HES,803,Ayvadere HES,Kamu,FZB,Null,Point,esriGeometryPoint,40.0214723424465,40.8688377604958,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yağmur HES,1545,Yağmur HES,Kamu,FZB,Null,Point,esriGeometryPoint,40.1215639053499,40.8230396605294,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yukarı Manahoz HES,775,Yukarı Manahoz HES,Kamu,SKHA,Null,Point,esriGeometryPoint,40.1236304065821,40.7521319565364,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Meşe HES,789,Meşe HES,Kamu,Ön Başvuru,Null,Point,esriGeometryPoint,40.1896374930818,40.5656707689543,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çamlıkkaya HES,1509,Çamlıkkaya HES,Kamu,insa halinde,Ögene D.,Point,esriGeometryPoint,40.2095578918061,40.6598285860376,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sarukan HES,495,Sarukan HES,Özel(Yap İşlet),On_Basvuru,Null,Point,esriGeometryPoint,40.2355360955611,37.9974959993623,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Dicle I HES,374,Dicle I HES,Özel(Yap İşlet),Fizibilite,Null,Point,esriGeometryPoint,40.252212327953,38.0199208495088,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gençosman HES,817,Gençosman HES,Kamu,Ön Başvuru,Null,Point,esriGeometryPoint,40.2555483115544,40.2268337529155,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kartalkaya Brj  ,1460,Kartalkaya Brj,Özel(Yap İşlet Devret),Insa Halinde,Aksu Ç.,Point,esriGeometryPoint,37.2356542462454,37.4695636984218,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Umutlu Bendi,1449,Umutlu Bendi,Özel(Yap İşlet Devret),SKHA,Göksu N.,Point,esriGeometryPoint,37.4057259278632,37.887979278493,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Çukurkaya HES,300,Çukurkaya HES,Özel(Yap İşlet Devret),Fizibilite,Tohma Ç.,Point,esriGeometryPoint,37.4904392467898,38.5643478701302,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Koç,1422,Koç,Özel(Yap İşlet Devret),Fizibilite,Kapıdere Ç.,Point,esriGeometryPoint,37.6825852874651,37.9185978151383,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Koyulhisar HES,152,Koyulhisar HES,Özel(Yap İşlet),Isletmede,Kelkit Ç.,Point,esriGeometryPoint,37.7825187842253,40.2904818053358,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kozbükü HES,426,Kozbükü HES,Özel(Yap İşlet),Fizibilite,Melet,Point,esriGeometryPoint,37.8247843970392,40.8340210893876,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Darıca-1 HES,428,Darıca-1 HES,Özel(Yap İşlet),Fizibilite,Melet,Point,esriGeometryPoint,37.8611601009403,40.7130052700357,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Besni,1472,Besni,Kamu,isletmede,"Göksu N.,Sofraz Ç.,Değirmen Ç.",Point,esriGeometryPoint,37.8735795195773,37.646814440801,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gemköprü HES,292,Gemköprü HES,Özel(Yap İşlet Devret),Fizibilite,Gemköprü D. Eskiköy D.,Point,esriGeometryPoint,37.8868572381909,37.9263501974218,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Mursal -2 HES,1393,Mursal -2 HES,Özel(Yap İşlet),SKHA,"Nih Ç., Hikme Ç.",Point,esriGeometryPoint,38.0057017841425,39.2644267840449,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kayısı HES,296,Kayısı HES,Özel(Yap İşlet Devret),Fizibilite,Null,Point,esriGeometryPoint,38.1058256177711,38.3969099134282,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Martı HES,782,Martı HES,Kamu,Ön Başvuru,Null,Point,esriGeometryPoint,38.1762655014717,40.9287673020301,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Bulam,1469,Bulam,Özel(Yap İşlet Devret),Insa Halinde,Bulam Ç.,Point,esriGeometryPoint,38.2961541749359,37.9789340567665,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Atatürk Barajı Ve HES,1102,Atatürk Barajı Ve HES,Kamu,isletmede,Fırat N.,Point,esriGeometryPoint,38.3109163840406,37.4868946195388,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sevindik HES,1405,Sevindik HES,Özel(Yap İşlet),Isletmede,S3 Sulama Kanalı,Point,esriGeometryPoint,38.4294826978529,40.09573803009,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Akça HES,194,Akça HES,Kamu,"master plan, öninceleme",Kuru D.,Point,esriGeometryPoint,38.4295813821857,39.722678963221,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kozluk HES,308,Kozluk HES,Özel(Yap İşlet Devret),Fizibilite,Kozluk D.,Point,esriGeometryPoint,38.4491664795261,39.0769161342284,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Asarcık HES,1573,Asarcık HES,Kamu,FZB,Null,Point,esriGeometryPoint,38.4543797185267,40.3089629007073,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sarıkonak HES,180,Sarıkonak HES,Kamu,"master plan, öninceleme",Karabudak,Point,esriGeometryPoint,38.4990069866594,39.5166381172754,4326,4326
