results/layerId,results/layerName,results/displayFieldName,results/value,results/attributes/OBJECTID,results/attributes/HES Adı,results/attributes/Kurum,results/attributes/Aşaması(seç),results/attributes/Akarsu Adı,results/attributes/SHAPE,results/geometryType,results/geometry/x,results/geometry/y,results/geometry/spatialReference/wkid,results/geometry/spatialReference/latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Sts -1 HES Projesi,1022,Sts -1 HES Projesi,Özel(Yap İşlet),SKHA,Zamantı,Point,esriGeometryPoint,35.51647227086996,38.02609540664145,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Doğançay HES,77,Doğançay HES,Özel(Yap İşlet),SKHA,Doğançay,Point,esriGeometryPoint,35.5244638792685,37.53773474412347,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Nur -2 HES,69,Nur -2 HES,Özel(Yap İşlet),Fizibilite,İn D.,Point,esriGeometryPoint,35.578327949119945,37.695960764141475,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Menge HES,55,Menge HES,Özel(Yap İşlet),SKHA,Göksu,Point,esriGeometryPoint,35.72497868199345,37.707006769090306,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sarıtepe HES,71,Sarıtepe HES,Özel(Yap İşlet),Fizibilite,Asmaca Ç.,Point,esriGeometryPoint,35.90779882138606,37.815602028080534,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gülerşen HES,399,Gülerşen HES,Özel(Yap İşlet),Ön rapor,Saimbeyli D.,Point,esriGeometryPoint,36.06638903252202,37.87051334691827,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sayan HES,387,Sayan HES,Özel(Yap İşlet),SKHA,Savrun Ç.,Point,esriGeometryPoint,36.18042757379894,37.62669075535082,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Köroğlu HES,389,Köroğlu HES,Özel(Yap İşlet),SKHA,Savrun Ç.,Point,esriGeometryPoint,36.18304047418557,37.60595885900699,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kargılık,1464,Kargılık,Özel(Yap İşlet Devret),Isletmede,Keşiş,Point,esriGeometryPoint,36.238508932690515,37.518773270031744,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Karapınar Regülatörü,116,Karapınar Regülatörü,Özel(Yap İşlet),Fizibilite,Keşiş Dere,Point,esriGeometryPoint,36.24205434972201,37.53835433465552,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yakacık HES,122,Yakacık HES,Özel(Yap İşlet),Fizibilite,Yakacık Ç.,Point,esriGeometryPoint,36.24218100735289,36.74686198644078,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Üçgen HES,384,Üçgen HES,Özel(Yap İşlet),SKHA,Keşiş Dere,Point,esriGeometryPoint,36.268134754737375,37.64732296993042,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ahmetcik HES,120,Ahmetcik HES,Özel(Yap İşlet),SKHA,Deliçay,Point,esriGeometryPoint,36.301826860787195,36.884438289520965,4326,4326
